,id,date,time,location,filtered_location,lat,long,magnitude
0,2022-08-28ID2,2022-08-28,22:47:02,Indian Ocean,Indian Ocean,-1.0284,98.6333,5.8
1,2022-08-28ID4,2022-08-28,19:06:02,South Pacific Ocean,South Pacific Ocean,-21.8231,-176.7876,5.6
2,2022-08-28ID6,2022-08-28,13:41:02,South Pacific Ocean,South Pacific Ocean,-21.358,-178.8538,5.1
3,2022-08-28ID12,2022-08-28,04:02:01,South Pacific Ocean,South Pacific Ocean,-22.5165,170.9031,5.1
4,2022-08-28ID16,2022-08-28,01:13:02,North Pacific Ocean,North Pacific Ocean,32.4558,142.4436,5.3
5,2022-08-27ID18,2022-08-27,18:48:02,"Ampalioc, Luba, Abra, Philippines",Philippines,17.3314,120.7572,5.2
6,2022-08-26ID20,2022-08-26,16:27:01,Coral Sea,Coral Sea,-14.4944,167.2935,5.1
7,2022-08-25ID23,2022-08-25,03:40:02,Indian Ocean,Indian Ocean,-4.7074,101.7568,5.0
8,2022-08-24ID25,2022-08-24,23:05:01,Pacific Ocean,Pacific Ocean,47.8584,153.7172,5.1
9,2022-08-24ID28,2022-08-24,15:54:02,Coral Sea,Coral Sea,-19.9047,168.7535,5.2
10,2022-08-24ID30,2022-08-24,12:29:01,"Calama, Antofagasta, Chile",Chile,-21.9825,-68.4982,5.4
11,2022-08-23ID32,2022-08-23,20:08:01,Indian Ocean,Indian Ocean,-6.2871,103.6729,5.1
12,2022-08-23ID35,2022-08-23,19:02:02,South Pacific Ocean,South Pacific Ocean,-62.1751,161.4247,5.8
13,2022-08-23ID37,2022-08-23,16:47:01,South Pacific Ocean,South Pacific Ocean,-20.8281,-173.4103,5.2
14,2022-08-23ID39,2022-08-23,14:52:01,Indian Ocean,Indian Ocean,-5.0755,103.1012,6.0
15,2022-08-23ID41,2022-08-23,13:57:01,Banda Sea,Banda Sea,-5.3913,131.3951,5.0
16,2022-08-23ID44,2022-08-23,12:14:02,South Pacific Ocean,South Pacific Ocean,-62.5512,-158.9885,5.4
17,2022-08-23ID45,2022-08-23,10:47:01,South Pacific Ocean,South Pacific Ocean,-62.7179,-158.7608,5.2
18,2022-08-22ID48,2022-08-22,08:55:01,Indian Ocean,Indian Ocean,-9.0889,115.5827,5.5
19,2022-08-22ID49,2022-08-22,08:22:01,South Atlantic Ocean,South Atlantic Ocean,-0.9625,-24.6462,5.1
20,2022-08-22ID51,2022-08-22,03:10:02,East China Sea,East China Sea,25.2069,123.5946,5.3
