,id,lat,long,country,geom_data
0,2022-09-11ID1,41.2018,140.1481,日本,"41.2018,140.1481"
1,2022-09-11ID2,-20.9751,-178.9445,Viti,"-20.9751,-178.9445"
2,2022-09-11ID5,-11.0759,110.8536,Indian Ocean,"-11.0759,110.8536"
3,2022-09-11ID10,-5.8136,146.0076,Papua Niugini,"-5.8136,146.0076"
4,2022-09-10ID14,-6.374,146.483,Papua Niugini,"-6.374,146.483"
5,2022-09-10ID15,-1.2028,98.6188,Indonesia,"-1.2028,98.6188"
6,2022-09-10ID16,-1.1241,98.6239,Indonesia,"-1.1241,98.6239"
7,2022-09-10ID17,-58.7811,-25.2732,South Atlantic Ocean,"-58.7811,-25.2732"
8,2022-09-10ID19,-2.2311,138.1671,Indonesia,"-2.2311,138.1671"
9,2022-09-09ID20,-2.2562,138.2072,Indonesia,"-2.2562,138.2072"
10,2022-09-09ID22,-2.251,138.1876,Indonesia,"-2.251,138.1876"
11,2022-09-09ID23,-6.9541,129.5544,Indonesia,"-6.9541,129.5544"
12,2022-09-09ID24,-58.3228,-25.5425,South Atlantic Ocean,"-58.3228,-25.5425"
13,2022-09-09ID25,2.0603,126.6149,Indonesia,"2.0603,126.6149"
14,2022-09-09ID27,-6.0342,142.7862,Papua Niugini,"-6.0342,142.7862"
15,2022-09-09ID28,-2.7779,-12.138,South Atlantic Ocean,"-2.7779,-12.138"
16,2022-09-09ID29,-8.9316,127.1347,Timor Sea,"-8.9316,127.1347"
17,2022-09-09ID30,54.8364,142.4353,море,"54.8364,142.4353"
18,2022-09-08ID31,-16.1418,-73.4064,Perú,"-16.1418,-73.4064"
19,2022-09-08ID32,-25.2582,179.7024,South Pacific Ocean,"-25.2582,179.7024"
20,2022-09-08ID33,1.3481,96.8662,Indonesia,"1.3481,96.8662"
21,2022-09-08ID34,37.8979,20.0523,Ionian Sea,"37.8979,20.0523"
22,2022-09-08ID35,-16.2733,-172.8348,South Pacific Ocean,"-16.2733,-172.8348"
23,2022-09-08ID36,66.5068,-17.7916,Ísland,"66.5068,-17.7916"
24,2022-09-07ID37,-57.2521,-24.0332,South Atlantic Ocean,"-57.2521,-24.0332"
25,2022-09-07ID38,0.0146,123.7983,Indonesia,"0.0146,123.7983"
26,2022-09-07ID39,-3.2097,101.4723,Indonesia,"-3.2097,101.4723"
27,2022-09-07ID40,-54.375,-119.3785,South Pacific Ocean,"-54.375,-119.3785"
28,2022-09-06ID41,-23.0996,-68.9442,Chile,"-23.0996,-68.9442"
29,2022-09-06ID42,-56.4916,-25.6996,South Atlantic Ocean,"-56.4916,-25.6996"
30,2022-09-06ID43,-56.6037,-25.9649,South Atlantic Ocean,"-56.6037,-25.9649"
31,2022-09-06ID44,-56.5801,-25.7813,South Atlantic Ocean,"-56.5801,-25.7813"
32,2022-09-06ID45,12.947,-87.3655,Nicaragua,"12.947,-87.3655"
33,2022-09-05ID46,52.1328,-30.1223,North Atlantic Ocean,"52.1328,-30.1223"
34,2022-09-05ID47,-31.8339,-179.1773,South Pacific Ocean,"-31.8339,-179.1773"
35,2022-09-05ID48,27.6306,56.0608,ایران,"27.6306,56.0608"
36,2022-09-05ID50,-33.4824,-72.2761,South Pacific Ocean,"-33.4824,-72.2761"
37,2022-09-05ID51,29.7263,102.279,中国,"29.7263,102.279"
38,2022-09-05ID52,-56.0067,-124.5405,South Pacific Ocean,"-56.0067,-124.5405"
